START DATE,START TIME
4/1/16,7:00 PM
4/2/16,1:00 PM
4/4/16,4:05 PM
4/5/16,7:10 PM
4/6/16,6:10 PM
4/15/16,7:40 PM
4/16/16,5:40 PM
4/17/16,1:40 PM
4/19/16,7:10 PM
4/20/16,7:10 PM
4/21/16,6:10 PM
4/22/16,7:40 PM
4/23/16,5:40 PM
4/24/16,1:40 PM
5/2/16,7:10 PM
5/3/16,7:10 PM
5/4/16,12:40 PM
5/5/16,7:10 PM
5/6/16,7:40 PM
5/7/16,5:40 PM
5/8/16,1:40 PM
5/17/16,7:10 PM
5/18/16,7:10 PM
5/19/16,6:10 PM
5/20/16,7:40 PM
5/21/16,7:10 PM
5/22/16,1:40 PM
6/1/16,7:10 PM
6/2/16,6:10 PM
6/3/16,7:40 PM
6/4/16,7:10 PM
6/5/16,6:10 PM
6/6/16,7:10 PM
6/7/16,7:10 PM
6/8/16,12:40 PM
6/13/16,7:10 PM
6/14/16,7:10 PM
6/15/16,12:40 PM
6/16/16,7:10 PM
6/17/16,7:40 PM
6/18/16,7:10 PM
6/19/16,1:40 PM
6/28/16,7:10 PM
6/29/16,12:40 PM
7/1/16,7:40 PM
7/2/16,7:10 PM
7/3/16,1:40 PM
7/12/16,7:00 PM
7/15/16,7:40 PM
7/16/16,5:40 PM
7/17/16,1:40 PM
7/29/16,7:40 PM
7/30/16,5:40 PM
7/31/16,1:40 PM
8/1/16,7:10 PM
8/2/16,7:10 PM
8/3/16,12:40 PM
8/5/16,7:40 PM
8/6/16,5:40 PM
8/7/16,1:40 PM
8/18/16,7:10 PM
8/19/16,7:40 PM
8/20/16,5:40 PM
8/21/16,1:40 PM
8/22/16,7:10 PM
8/23/16,7:10 PM
8/24/16,12:40 PM
9/5/16,1:40 PM
9/6/16,7:10 PM
9/7/16,6:10 PM
9/8/16,7:10 PM
9/9/16,7:40 PM
9/10/16,5:40 PM
9/11/16,1:40 PM
9/19/16,7:10 PM
9/20/16,7:10 PM
9/21/16,6:10 PM
9/22/16,7:10 PM
9/23/16,7:40 PM
9/24/16,5:40 PM
9/25/16,1:40 PM
9/27/16,7:10 PM
9/28/16,7:10 PM
9/29/16,6:10 PM
